,reviews
1110, london to warsaw ba european service is becoming like an expensive low cost airline the price of seat selection still remains high the seat on the outbound flight is not even reclining and it was a hour flight you can always feel the elbows of the passengers next to you whenever someone is moving i didn t buy any food or drink onboard although i reckon it s not badly priced the inbound flight was on an older a in which the seat was reclining 
1111, london to istanbul due to poor weather conditions at lhr the flight was initially delayed by hours which is quite understandable when the passengers were informed of the gate everyone gathered at the a gate in t then no announcement and the ground staff were in a world of their own next there is a screen notice that the flight will depart from a c gate everyone rushes to the one of the last of the c gates once on board the dreaded announcement that the flight will be delayed by another hour the flight finally takes off nearly three hours late after a while the crew comes with the m s gibberish but passengers are so hungry that by the time the crew serve the fifth row in economy the sandwiches are all over and i had packet of crisps and a diet coke for dinner the flight arrived in istanbul three hours late and to add insult to injury the aircraft stops at a remote gate and we have to trek to the terminal 
1112, london to cape town flying first class with british airways is a hit or miss affair but having secured a couple of return flights to cape town with avios our expectations were running high as we entrusted our car to the meet and greet parking unfortunately terminal isn t the best starting point and galleries first lacks glamour or decent champagnes the food on offer is adequate although hardly first class hoping for better on board we didn t use the sit down menu boarding was on time and according to ba s new group allocation our seats k and k were a first for us as we ve previously gone for pairs in the centre but seats a and k are definitely superior with more storage space and better privacy however there s no escaping the fact that the relatively recent first class refit is in a relatively ancient plane particularly when one inspects the shabby state of fittings in the toilets and galley the ife is also showing its age and badly in need of an upgrade but at least it didn t require rebooting on our flight cabin crew in first were the usual mixed bag the fa looking after our side seemed to be in the wrong job food was better than usual although a malfunctioning oven meant that we had to wait minutes for our hot breakfast landing was ahead of schedule and we were through immigration and baggage reclaim within minutes overall a decent flight but let down by the attitude of the cabin crew and the age of the plane 
1113, london to hamburg typically if i fly ba it is sfo or lax to lhr this time i flew them from miami via tampa thru lhr to hamburg using their avios points i secured a first class seat which of course is a scam because ba charges you fees and surcharges to use those points at per direction their miami operation appears to be a poor second class cousin to american as they use two of their ticketing and check in kiosks plus share the american premium class not lounge all the american processed slices of cheese and bologna you can eat with free booze is not what i call a premium lounge the ba gate in the dreadful e terminal is not even on the main floor but downstairs people jammed up to the entry points for boarding which creates a mess of boarding people by sections boarding was like a cattle call ba flies one of its oldest b into miami and it showed even in first the seats were of the older design and it appeared the carpet was recent but the cabin smelled of moldy carpet the service and food was surprisingly good compared to their service out of california the flight was late leaving and late arriving and this miami flight does not dock in terminal rather terminal and requiring its passengers to take shuttle buses to the other terminals which is what i did for my connection to hamburg in the end i decided i was done with ba because their service model for premium passengers has hit rock bottom their avios program is nearly worthless on any premium class booking or on its partner airlines try using ba points on american or cathay or even alaska and you will find it impossible regardless how far in advance you try 
1114, turin to london gatwick rubbish check in service as bad as ryanair i show the staff my mobile boarding pass checked website that i have x kg bags checked allowance one bag was over kg they refused to honour the kg allowance and told me i will risk myself to miss the flight and not able to check in they were so rude and unhelpful boarding was with the same unhelpful and unprofessional staff with the very arrogant manner flight was delayed without the checked in agent saying anything after all passengers board they start to tell people there will be an hour or so delay due to weather at the very least the young crew serve passenger complimentary juice or water during the wait 
1115, when i checked in the evening before for the am flight it looked like only of seats were occupied hrs before flight they cancelled it without rebooking or explanation there is not a hotline to call 
1116, ba s reputation has been declining for years so i don t use them for various reasons i had to for a flight for madrid i had hand luggage they texted asking for the hand luggage to be checked in as the flight was busy i did and they lost it hours later no luggage or idea where it is no compensation only after hours and for a small amount ridiculous airline which has managed to lose its prestige and good will lagging significantly behind easyjet in all aspects 
1117, los angeles to london heathrow desperately poor service from british airways in club class business class is utterly outdated with the weird facing each other configuration and narrow uncomfortable seats the food served was appalling the cabin crew were inattentive at best and appeared disinterested in providing genuine customer service the problem with british airways now in first and business class is what they are completely lacking namely any class or manners whatsoever poor food uncomfortable seats terrible small movie screens no wifi and an overall budget airline experience british airways even charge for seat selection too which adds insult to injury avoid this horrible airline if you can the only redeeming feature of this airline is the wonderful quiet airbus a a shame ba ruin the aircraft with such a poor quality product and attitude 
1118, london heathrow to mahon booked months ago flights for first family holiday for years for adults children and infant in lap almost k for all of us pre booked seats at the same time i was rather surprised when i got an email two weeks out saying about your flight to madrid on the th may when i was flying direct heathrow to menorca airline assured me everything was fine further concern when self service check in opened hours out wife and daughters checked in fine me and my son were referred to airport check in despite all being on the same booking an urgent call to ba i was told i was probably being moved to a bassinet position when i pointed out this was utter nonsense she reneged and said infants can t check in online which i now understand is also incorrect my concern was well placed at ba t bag drop check in agent looked flustered a note in the booking prompted her to call various people and after about ten minutes she handed me a bunch of boarding passes only after i checked them she sheepishly admitted that our pre booked seats were gone my son and i had no seats at all and were standby and my wife and daughters were dotted all around the cabin rows apart prebooked seating is not guaranteed you know after kicking up a huge fuss i believe they can t legally sit children below a certain age away from parents the check in manager offered me no explanation other than full flights but promised me it would be sorted once they got round to closing my flight fast forward to the gate utter carnage including the check in supervisor who cant have been more than in tears when i eventually got seen i was finally given a seat number for me and my son again many rows apart from the rest of my family as this was my sons first ever flight i was absolutely livid that we couldn t sit anywhere near each other added to that my son is breastfed so how we are going to manage feeding kids needing toilet etc i put my foot down and was eventually given a single middle seat two rows again from my daughters who were by now sat together thank goodness we boarded the flight pretty much last after all the furore holding my son i get to my assigned seat and someone is in it asking to see his boarding pass surprise surprise he is in the correct seat cue ba staff running around and frantically checking boarding passes such is the confidence that the cabin crew have in their own ground staff i even heard one of them mutter check boarding cards and flight numbers as someone around here is on the wrong flight fast forward another mins and the plane is now pushing back with me standing in an aisle holding my son with not an empty seat on the plane with me saying to my wife that we re going to have to get off here and my children in tears much checking of ipads and a ba staff member is then found there were quite a few on the flight apparently and hurriedly moved to the jumpseat whilst an announcement from the flight deck is booming out for everyone to take their seats or delay the flight what seat raised a formal complaint and was told that they understand my frustration which is nice separate complaint raised to caa about a pushing back with passengers including an infant with no seat conclusion is families avoid at all costs 
1119, dubai to london heathrow lovely flight and a great ba worldwide crew which are the best in the ba fleet very good seat with great extras that you would expect in st class chose to sleep as it was a night flight but had a delicious full breakfast in the morning baggage allowance was superb with x kg cases and cabin bags overall a lovely flight with a great airline that has a great crew
1120, london heathrow to singapore on may in this review i am reviewing the a la carte dining option on board for world traveller world traveller passengers have the option to pre order from a selection of main courses up to days in advance for selected long haul flights out of lhr with prices ranging from to i had the gourmet dining consisting of braised hertfordshire beef cheek which was succulent and delicious if you do not want to risk not getting your meal of choice on a long haul ba flight and if this a la carte option is available on your route i highly recommend you to go for it 
1121, paris to newark flight cancelled this experience was one of the worst i ve had the engineers had no idea what was wrong with the engine all air and water shut off for three hours not to mention the boeing looked ancient for a hour flight from paris i expected a little more the flight attendants did not keep us updated lastly after we got off the plane they had one receptionist at the desk to deal with the people who needed to rebook flights and get hotels for the night will never fly british airways again delta forever 
1122, i flew ba from heraklion to gatwick i bought exit row seats for me and others to sit together with extra leg room i paid around for that in january we got to the airport hours before departure queued to check in and was told that of the seats were reallocated to someone else i asked why the ba rep said it was because the plane for the flight had changed she then said we should have got there earlier she wouldn t call ba customer service when i showed her the email acknowledging of us were given row bulkhead seats with less room than normal pitch i was told to email ba and ask them to refund me the seat cost the flight manager on the plane told me there was no change of plane she apologised and said she d take our case up with ba customer service i also sent in a complaint today is days with no response and my money still not refunded i ll never fly with them again 
1123, outbound from lhr to washington on a refurbished was in economy all in all wasn t a bad experience modern looking cabin with excellent ife system food and wine was good and cabin crew very attentive was looking forward to the return trip as had upgraded to premium economy return flight ba was delayed by late arrival of inbound flight but no worries could relax in the pe cabin boarding the aircraft and turning left for the first time ever immediate disappointed how old was the plane the cabin was dull and those seats looked as though they had seen better days a quick check and this particular was delivered to and hadn t had the refurbishment treatment leg room was a tad better than economy but seat controls not very efficient and as for the ife system that decided not to work mind you the screen was so small and scratched i doubt i would have been able to watch anything cabin crew offered a pre take off drink water or orange juice and a hot towel that had seen better days it was the sort of thing that you clean your car with after a few words from the captain we departed the evening meal was some sort of chicken with rice with real cutlery and was ok wine and g t was acceptable about hour before landing breakfast was served or should i say offered some sort of filled roll i declined and had a tea in a paper cup and nothing more offered i should add that the cabin crew were very attentive and tried to make us feel a bit special for having spent an extra for the upgrade ba this experience was a disgrace for a once proud airline never again 
1124, singapore to london this was the second part of my sydney to london trip and looked forward to it as it was on a ba a now this aircraft in qantas colours is one i am very familiar with having flown around sectors over the last months with qf as mentioned in my review of ba which was the first leg of this trip it is the on board soft product that is the problem the same comments for that review apply here the ife is a work of mystery in terms of content on qantas american cathay one gets a really good mix of old and new movies great music choices those who compile the content need to look at what they mean by award winning godfather gladiator brave heart roman holiday etc are all things we as passengers want to see some smart edgy team in soho london pulled the content together forgetting that not everyone is edgy and want to see cutting edge stuff ife is one thing on long haul the other is food and beverage the food quality was just substandard and something i read about constantly on qantas say qf from singapore to london one gets the evening meal service followed by weiss ice cream a lindt chocolate along the way midnight snack of a pizza or sandwich and morning breakfast fruit or eggs with usual muffin etc at the rear of the main deck is a snack bar and in the galley will be found chocolates banana bread cheese and biscuits you would need to be really hungry to get through that lot but the point is that it is available and offered ba need to get away from a meal service on take off and landing and nothing in between the a is a flagship aircraft and on qantas it is treated as such i am a qantas fanboy and spend a lot of time on their planes put the smartest best looking crew onto a flagship as that is what people will remember the ba crew were of a certain vintage more suited to lawn bowls one guy looked like steptoe for those who remember and was a miserable flying on an a should be an experience and i enjoy all my trips on that aircraft ba have managed to reduce it to a very large low cost aircraft moving people from one point to another that is sad given the stature of ba i came back on ba from london to hong kong and the same comments apply hard product is fine except for no snack bar but the soft product is lacking severely 
1125, sydney to london via singapore it has been a very long time since i was on a long haul with ba of more than hours last year had a relative sprint from london to jfk and before that in the years have not been kind to ba probably a mixture of the decline of ba and the emergence of other airlines nearly all my long haul is with qantas on its a occasionally emirates on its version and then once in a while with cathay pacific and american airlines the problem is not the hard product a b or the a in whatever colour and decor is ordered is the same air frame the b from sydney to singapore was fine nosier than the a but that is well known very comfortable seats and at hours a relative sprint for those who call sydney home it is the soft product that is lacking check in was fine and despite being in economy had an express pass through security being a gold ff with qantas boarding was orderly and an on time departure and arrival into singapore now its just a lack of polish with the soft product no menu given showing what was to be served as with cathay emirates and qantas the cutlery was really cheap and i mean cheap kfc offers a better grade of plastic i know in these days of security that proper silverware is not possible but someone at ba needs to check out the plastic used on cathay and qantas the food itself was very bland a salad that had seen better days and penne with some sauce that was over salty qantas have done away with salads and simply give you a main dish plus garlic bread and a dessert it s just the quality that is lacking drinks i have a tradition something silly about starting a journey off with a jack daniels and coke this is available on qantas but no sir we don t serve that a note about the fa s they were great but one gets the feeling that they are chirpy to mask some of the shortcomings with the product they are asked to deliver final word about this leg is the ife a touchscreen but it was slow in response time and the selection was diabolically bad award winning or classic films with not a noted film from the last years one or two interesting things and some new releases come on ba for may being on a plane for that length of time is a perfect opportunity to catch up on much loved classics as for music well i m but still like the pearl jams etc of the world we are not all into brit pop and edgy music presenters if ba is serious about the airline business then it needs to sharpen up the soft skills the food and beverage and add a touch of pizzazz about the airline it is a mix of ba going back and many others coming up and beyond the standards that ba set many years ago 
1126, malaga to gatwick operated by titan airways very full business class of people a sick flight attendant so just one female attendant handled alone i wish to highly commend here despite alone she managed perfectly 
1127, flew barcelona to gatwick this review is about the arrangement for check in rather than actual flight ba allows you to check in online but not to print out a boarding card there was no machine to print a card queue taking minutes to get boarding card and several people were too late for check in there were desks for priority for general check in for all flights only desk served once they were about to close check in
1128, munich to london heathrow with british airways while british airways is more or less in the same price range as lufthansa no complimentary food or drinks were served crew was friendly the departure was from terminal in munich which is by far not as nice as the newer terminal and arrival at terminal in heathrow which is not as nice easy as the new star alliance queens terminal no wifi personal device entertainment or onboard monitors on my flight seat reservation too expensive in my eyes british airways has one big advantage though the generous hand luggage rules 
1129, this was an early morning flight from heathrow to keflavik the flight was not very full shortly after take off the cabin crew came around to sell m s snacks and drinks reasonably priced this was a typical intra european flight on british airways where food and drinks are for sale cabin crew were efficient i had the exit row seat so leg room was more than adequate 
1130, cape town to london dated aircraft very poor cabin service semi inedible food and the inevitable entertainment system crash made for a very poor journey the cabin crew clearly regarded us as an intrusion and i do not feel that i should be having to ask for a drink with my main meal surely we should have been offered something as a matter of course i used to be happy to pay more to fly ba now i pay extra not to 
1131, washington to prague via london i have flown them several times in the past but not for a number of years i remember them as not a top of the line airline but better than average this time it seemed that any nice things have been dropped hot towels as you neared your destination and they have become almost a low fare airline you pay for reserving seats on shorter flights you pay for food etc the seating on the boeing seemed very cramped it is said to be but seemed like less on the return flight on may rd two of the lavatories went out of service the a from london to prague seemed to have more seat room but the seats were very hard they may be the new slimline seats i m not sure but they were very uncomfortable even for a two hour flight also on the washington to lhr flight we had printed out boarding passes at home the agent at washington printed out additional ones and said we should use them but when we got to security she had printed out two for me and none for my wife it was lucky we still had the one we printed out at home i won t say that i will not fly them again but i will definitely compare prices in the future they aren t worth any extra cost 
1132, london to washington apart from the space nothing nothing was first class not even the comfort crew was hardly more attentive to service than in coach food which used to be fantastic is just eatable no more wines which were the best in the sky when jancis robinson and hugh johnson made the selection apart from a good white champagne but mediocre ros are at the level of a business class and my seat did not have sound from the audio video system so they moved me and an hour later the whole system stopped without the crew apologizing needless to say no wifi apart from their lhr first and concorde room lounges at lhr which remain great ba is now no better than a star airline sad for the clients and shameful for ba management 
1133, i had called the british airways customer service staff to ask about my plane change at london heathrow from washington dulles to glasgow i was told that clearing border control would be done at final destination at glasgow but this was not true passengers arriving into london heathrow from international and connecting to domestic flights have to clear uk border control long lines and then security screen again before gaining access to flights even with mobility assistance and a fast track card and minutes between flights it was a close call to make connections 
1134, london to montreal i did my online check in the night before and left to go to the airport i arrived at the airport hours in advance went to a kiosk to print my boarding pass and the kiosk wasn t working so i proceeded to the ba counter to get my pass and check in my luggage i was in line for approximately minutes when we were all told to switch lines the line we were moved to was substantially longer however i was patient by the time i got to the desk an hour had passed and i had a bit over an hour left to my flight i figured this was tight but all the while manageable since i trusted ba s system the woman at the counter asked me where i was going and when i said montreal she looked at me and said you won t make it i explained the situation how i had been in the airport for several hours already and that i was in line for hour she just told me i needed to go to the missed flight counter i got to the counter and they informed me that i had to buy a new return ticket my original return ticket cost me my return cost me i had no choice but to buy the ticket i also had to stay in a hotel and then take a bus to gatwick airport the following morning once i arrived back in montreal i called ba customer services and they told me that it was protocol to put me on standby and not make me purchase a new ticket and that i could get a refund if not for the new flight then for the of the flight i missed imagine my shock after spending an additional cad all in when i escalated my complaint they did not address my case for over a month and once they did they just said we cannot refund you and that was that 
1135, tokyo to amsterdam via london on the evening before departure i received an email from ba the flight would be delayed for one hour but we were urged to get to the airport on the original time in case there wouldn t be a delay in the end the aircraft left tokyo haneda with a minutes delay baggage drop off was smooth and was handled with japanese politeness if you have the choice to fly from nrt or hnd i would definitely choose hnd because it s much more conveniently located to downtown tokyo the aircraft was parked at a remote stand and we were bussed to the aircraft adding more time to the delay we already had i didn t like the seats on the i found them quite uncomfortable and the legroom was insufficient especially when you have an instant recline type passenger in front of you on the window and aisle seats there s also the ife box so there s no place for both feet the meal was a joke and there was no choise inflight entertainment is not up to date small screens with low brightness the crew was not very friendly when i went to the galley for a drink i was was urged to return to my seat instead of drinking in the galley and stretching my legs the second meal service was rushed we ve got our meals and after minutes the crew returned to pick up the trays because we were already descending to lhr luckily i ve made it to my connecting flight to amsterdam because i had a short connection the a flight to amsterdam departed ahead of schedule there s nothing special to write about this short flight although one round of drinks would have been nice unfortunately ba decided to cut the the service on european flights in the race to the bottom 
1136, check in at vienna airport was painless ba uses air lounge at vienna and was adequate with enough seating and food was okay boarding was a scrum as there was no priority given to club europe passengers the flight wasn t full therefore service was quite prompt i found the crew to be quite engaging and friendly and were happy to talk to the food was quite mediocre which consisted of afternoon tea scones and miniscule sandwiches one passenger wasn t very happy with the serving and the crew tried her hardest to explain what afternoon tea was business class was quite average to be honest will fly club europe again maybe depending on which route and price ba has a lot of catching up to do compare to other carrier within europe 
1137, took a day trip to vienna with british airways booked at the last minute flying out at on a sunday and having an early start to get to the airport i was looking forward to getting some sleep on the flight having never usually been a problem i boarded the aircraft and asked if it would be possible to get a pillow and blanket to be told by a member of crew that these are not for economy passengers only business freezing temperature onboard the aircraft so managed to get limited sleep another example of ba s pathetic cost cutting antics and demonstrates the non existence of customer service within the airline despite it being one of the first flights out of heathrow with no queue for departure and perfect weather conditions we still managed to arrive about minutes late into vienna quite as to how is beyond me i ll be sticking to easyjet until british airways once again starts to value it s passengers as currently they couldn t care less 
1138, glasgow to heathrow ba are a disgrace it once stood for a high standard and flew the flag high my flight from islay was delayed by hours no fault of mine so i missed my connecting flight after being fobbed off as not my fault nothing we can do i ended phoning and after an hour of being passed from pillar to post and back again i had to pay for another flight money grabbing company with lousy customer service and lack of any feeling
1139, london to phoenix this week having a window seat on the top deck your kind of rest assured you will have privacy and rest this was successful on the flight with hours slept which was super comfortable which i was surprised at the meals were good and tasty with the service pleasant enough for ba the poorest part of the trip is the tv being so small and picture so poor in the end couldn t really use it as it was so frustrating amongst other operational issues i e press pause and film would start from beginning would i fly again sure why not 
1140, glasgow to heathrow very disappointed in british airways having been delayed by a partner airline and therefore missed the last connecting flight of the eve ba charged me and my friend full price to rebook for the morning their system had not allowed me to book all the way through using my ba exec club membership so i d had to book it as two flights neither ba or loganair would take responsibility leaving us stranded at the airport for the night clearly being a member of the ba exec club counts for nothing very bad customer service ba seems ba and loganair are only in partnership to extort more money from your passengers 
1141, brussels to shanghai via london heathrow all flights on time clean aircraft food good cabin crew friendly i recommend british airways the only complaint i have is about the ground staff at heathrow i lost my jacket on the shanghai to london flight and ground staff at heathrow gave the mail address of a company for lost objects 
1142, chicago to london heathrow i was dubious about flying ba especially after my last flight over a year ago after which i left the aircraft feeling very hungry however my trip to usa with ba was surprisingly very good both ways on this flight after deciding not to spend on an upgrade i was pleasantly surprised by being given a seat with extra leg room didn t feel the need to get up and stretch my legs once although i slept a lot of the way the cabin crew were very helpful even asking the captain to find the direction of mecca so i could pray in my seat was given two bags of pretzels and two cups of coffee i had to ask for both but was given without any fuss a is a very nice aircraft and the take off and landing was excellent although i noticed a funny not that loud motorised noise coming form the galley noise of the journey for dinner there was butter chicken rice and lentils and a rice pudding type desert all of which was okay nothing special 
1143, athens to philadelphia via london i chose ba because the fare was cheaper which explains why on a hour minute flight ath to lhr they do not serve food and beverages free on the aircraft having paid for our chosen seats there was no waste envelope whilst my inflight magazine was so overused lhr to phl an immaculate aircraft smooth flight all the way rather poor lunch i was disappointed with ba especially with their decision to charge for f b on european flights 
1144, hong kong to london heathrow on b in club world this was an interesting comparison as we had flown out to hk on an a on cathay pacific and the difference was huge the ba club world cabin is very cramped when compared with cathay the seat configuration is ok if you want to chat to your wife or friend but there is very little room to store items and just feels very cramped the duvets and blankets come in a bag that is in the seat area which the crew insist on putting in the overhead lockers for take off this is fare enough but there is little room they also provide bottle of water which is great but again little storage area the food service was also disappointing the duck breast as my main course was very tough drinks selection was very good plus points go to the cabin crew who were very professional and had a sense of humour understand ba plan to change the business class seating in and this cannot come soon enough 
1145, los angeles to london heathrow return outbound first class return club world a both sectors awesome aircraft firstly ba flight deck crews are awesome totally professional and you know that they are tremendous pilots the cabin crew on both sectors were polite friendly and professional their service was excellent i wasn t feeling well on the out bound flight and i didn t eat anything so i can t comment on the food on the return flight in club world the food was very good no complaints there the seats were comfortable although the club world cabin felt cramped i was in k which is a window rear facing bulk head seat as it was a daytime flight the noise coming from the galley didn t bother me but i think it would be an issue on night flights i hope ba change their business class seating for something like aa business class on their s ba business class is really dated and i said it felt cramped my big issue and this isn t entirely ba s fault was the over zealous security screening at heathrow i was pulled aside for screening times i don t mind extensive in depth security but to be screened times was excessive i am enrolled in and pay for tsa pre check and if british airways would participate in this program it would save a lot of angst other than that the overall ba experience was totally acceptable 
1146, hamburg to abu dhabi via london hamburg to heathrow not even a free glass of water or a candy everything is for purchase i felt cheated heathrow terminal was a big mass getting from my arrival gate to the departure gate took me over hr within the same terminal security screening was extremely slow and staff rude i will avoid heathrow in the future long flight to abu dhabi was ok no frills in premium economy but edible food return flight was similar but heathrow terminal less chaotic this time my last flight on ba was over years ago it was a real premium carrier then 
1147, overnight club world flight from rio to london check in at rio was efficient third party lounge premium plaza which was reasonable and had enough space no fast track security lanes in rio plane ready near enough on time with well organized boarding on board standard club world service my feeling is that the food and beverage quality is not as good as it used to be granted they only loaded one of the wine options which was wasn t great either food itself not terribly appetizing breakfast quite rushed which it did not need to be given the long nature of the flight flight landed on time priority bags worked and were off quickly an average experience however ba were not the lowest cost option on this route at the time of booking that was air france a carrier i rate highly but they were a direct flight 
1148, london heathrow to vancouver the on this route is an old worn out aircraft even though i paid for premium economy the seat was hard small and uncomfortable it would not recline without the air stewardess yanking the seat back the front foot rest was broken on one side so that during the whole flight my foot was tilted and slid off the touch on the back of the screen was small difficult to see and barely working the washroom had a leak and when i used it in the middle of the flight water was running along the floor and soaked my socks the air stewardess just gave a small laugh and said i shouldn t have worn socks there was no accessory pack of eye shades etc out of two meal choices one had run out after two rows had been served the crew appeared bored and not bothered 
1149, madrid to london credit where it s due flew club europe and the crew were excellent friendly attentive and professional the food was a good standard the b has a dedicated business class cabin with larger seats think they will be phased out this year but a good example of good service 
1150, venice to gatwick i use snokart luggage which is designed to be zipped and fastened together to allow skiers to check in one bag only in feb of this year i was told by ba check in staff in venice that it is against their baggage policy to allow luggage to be fastened together the staff were clear that it is ba policy that bags cannot be fastened together for nearly three months i have been asking the ba complaints team to provide evidence of this baggage policy i have had several replies in that time but on each occasion the customer service staff have failed to provide evidence of the baggage policy alleged by their check in staff in venice ba has also refused to confirm whether these two check in staff are in fact ba employees or employed by a third party this is very disappointing in what was a reputable company 
1151, first legs were trouble free lounges were good some staff were good some were very poor especially the agent i encountered at security in lhr my flight from singapore was delayed in the air and i was not allowed onto my connecting flight british airways re booked me on the next flight but downgraded me from business to economy and into a centre seat fine i wanted to get home and they said they would compensate me after weeks they finally mailed back to say they would refund the difference to my company who paid the ticket but i was not entitled to any even token gesture of frequent flyer miles for the inconvenience of being downgraded and put in an aisle seat after a long haul flight i missed out on a meal and the option to be comfortable and to try and catch up on further sleep it was all handled very poorly late and without regard to a frequent flyer who has the option to fly via air france or one of the middle east carriers who value my business its left me with a very sour taste in my mouth and i will certainly look at flying with other carriers now 
1152, flew london to budapest with british airways massively overpriced compared to other companies on this route like ryanair or easyjet with no real added value no drinks or food served on the flight the check in process is just as painful and most of the time they force you to ckeck in your hand baggage as well a bit more legroom but that won t justify the price difference on a hr flight 
1153, paid for a vueling airlines flight from florence to gatwick and bumped off flight when called british airways most unhelpful and told the flight had nothing to do with them even though i bought the ticket from ba com and had one flight number ba a shocking attitude towards their paying customer 
1154, london to sao paulo overnight club world flight prompt check in at heathrow and into lounge no spaces at the spa galleries lounges were fine and showers clean good wifi aircraft was a so in flight entertainment was good they also had wifi on board crew experienced and were good service prompt food reasonable and i liked the new white company offerings flight arrived early generally a solid performance 
1155, worst ba flight ever flew tampa to london gatwick no greeting by the door shown to economy despite business seat dirty plane bits dangling from the ceiling only once all passengers were seated delay was announced and refuelling commenced which is a clear indication that delay was known earlier probably the worst business class seat around wobbly footrest facing strangers and having to climb over people breakfast was a single meagre roll with one tiny bacon slice and unbranded ketchup at disembarkation the crew did help elderly passengers that was left to other passengers crew just stood there economy was not held back so no priority disembarkation never again 
1156, flew british airways from london heathrow to dusseldorf despite being row legroom was tiny no comparison to say eurowings which is a budget airline food terrible even worse was the seat this is not business class one expects a degree of comfort next time i will fly eurowings and get decent leg room with a table i can actually work on 
1157, madrid to london the main plus about this flight were the cabin crew who were professional and friendly and hard working the i saw no food in the iberia lounge at madrid no working washrooms and discourteous iberia staff the food on board was ludicrous in business i got a panini the staff looked embarrassed to serve it waste of money 
1158, london to moscow british airways has downgraded their plane to a smaller plane and hence seat in business class is no longer club world flat bed seat but club europe seat not flat bed it is a night flight and this change is important and not acceptable i cannot fly during the day as i have meetings scheduled ba has not offered a like for like change they offered seats on an early flight next morning which is not suitable as this flight is during the day moreover the fare that we paid for the night flight was more expensive that those that ba is offering during the day they also not allowing me to cancel the flight and rebook another or change the outbound flight to another date like friday when the seat whether club world or club europe is less important as saturday not a working day and one can get a rest in summary it is unacceptable that ba is charging more for the flights with club world seat and then swapping it to smaller plane without offering a like for like change this was never the case before and ba was fair previously 
1159, miami to london my most recent ba experience was positive i fly ba for work and leisure up to long haul flights a year on my most recent flight from miami to lhr i found the whole economy experience well above average despite the dated aircraft the which to me is the legend of the skies the cabin crew in economy were smart attentive and seemed to go beyond the call of duty giving an elite service from the mia ground handling american crew food and beverage service was good seating in my aisle seat e generous for my long legs i recently flew ba business club world to the far east for work and despite the unlimited catering and frills the cabin staff lacked the attention and friendliness of this flight well done ba you excel against the north american carriers on routes to the north american gateways who give just a basic service 
1160, gatwick to barbados in december on a hour flight they provided one meal and afternoon tea which consisted of a mars bar and a cup of tea the plane was aging and yellowing round the edges and the staff were surly the only redeeming thing was that it was cheaper than competitors but still not cheap 
1161, london heathrow to dallas the aircraft was old no sign of refurbishment for the last years or so seat pocket was full of rubbish from previous flight the personal screen is tiny and no longer responsive as a touch screen so i had to use the remote control which is fixed on the armrest and non retractable the choice of ife is very limited the food on both outbound and inbound flights were mediocre and with small portion i saw some passengers request for more food and i was glad to see the crew giving out nicely without attitude i must admit that the crew on the outbound were exceptional whilst the inbound were acceptable but still better than most crew on flights to from jfk i had an onward connecting flight with american airlines and i can clearly see the changes between the airlines over the past few years whilst aa is improving ba is becoming a national embarrassment ba remains among the most greedy airlines when it comes to seat selection the seat selection price tag just makes the total cost higher than other decent airlines it no longer deserves a star rating but edging between or star it s not even worth redeeming avios points anymore these days i d rather spend my avios on partner airlines 
1162, decided to go in club europe for this relatively short flight minutes from london to copenhagen dropped my bags and went through security which did not take too long i then went to the galleries lounge south and although i have not been there for a year or two it looked the same same food same drinks same slow wifi my gate was just around the corner and i got on the plane i like the fresh look inside but the seat pitch is ridiculous in business the food service was disappointing the service in the cabin was ok but not very warm i have travelled a lot with ba over the past years after yesterda i have lost my faith in british airways 
1163, ba used to be a byword for quality and service you simply can t say that anymore and the only thing that seems to have stayed the same is the ticket price i paid dollars for my ticket from istanbul to london with ba for that price there is no airbridge you will wait on a crowded bus and no entertainment note this is a hour flight also screen devices larger than a phone are banned from this flight so no alternative of watching movies on your ipad oh and you ll have to buy any food and drinks on board i flew ba on this route because no other flight time worked for me however turkish airlines is by far the better option with airbridge free hot meals and a modern entertainment system pegasus and atlasglobal offer a similar service to ba but at far lower prices it seems to be the same all over ba used to be a first choice but at this price for this service it s become a last resort 
